municode,State,Municipality,Domestic_Tariff,Divisional_Area,DAC_Area,Fixed,January_marginal,February_marginal,March_marginal,April_marginal,May_marginal,June_marginal,July_marginal,Agust_marginal,September_marginal,October_marginal,November_marginal,December_marginal
5017,Coahuila de Zaragoza,Matamoros,4,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5018,Coahuila de Zaragoza,Monclova,5,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5019,Coahuila de Zaragoza,Morelos,4,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5020,Coahuila de Zaragoza,Muzquiz,6,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5021,Coahuila de Zaragoza,Nadadores,4,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5022,Coahuila de Zaragoza,Nava,6,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5023,Coahuila de Zaragoza,Ocampo,3,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5024,Coahuila de Zaragoza,Parras,2,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5025,Coahuila de Zaragoza,Piedras Negras,6,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5026,Coahuila de Zaragoza,Progreso,4,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5027,Coahuila de Zaragoza,Ramos Arizpe,2,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5028,Coahuila de Zaragoza,Sabinas,6,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5029,Coahuila de Zaragoza,Sacramento,1,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5030,Coahuila de Zaragoza,Saltillo,1,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5031,Coahuila de Zaragoza,San Buenaventura,4,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5032,Coahuila de Zaragoza,San Juan de Sabinas,6,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5033,Coahuila de Zaragoza,San Pedro,4,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5034,Coahuila de Zaragoza,Sierra Mojada,3,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5035,Coahuila de Zaragoza,Torreon,4,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5036,Coahuila de Zaragoza,Viesca,5,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5037,Coahuila de Zaragoza,Villa Union,1,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5038,Coahuila de Zaragoza,Zaragoza,6,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
6001,Colima,Armeria,3,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
6002,Colima,Colima,3,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
6003,Colima,Comala,5,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
6004,Colima,Coquimatlan,3,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
6005,Colima,Cuauhtemoc,2,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
6006,Colima,Ixtlahuacan,3,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
6007,Colima,Manzanillo,3,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
6008,Colima,Minatitlan,2,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
6009,Colima,Tecoman,3,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
6010,Colima,Villa de Alvarez,3,Centro Occidente,Sur,38.27,2.378,2.546,2.643,2.774,2.934,3.095,3.343,3.625,3.935,3.929,3.871,3.349
7001,Chiapas,Acacoyagua,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7002,Chiapas,Acala,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7003,Chiapas,Acapetahua,5,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7004,Chiapas,Altamirano,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7005,Chiapas,Amatan,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7006,Chiapas,Amatenango de la Frontera,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7007,Chiapas,Amatenango del Valle,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7008,Chiapas,Angel Albino Corzo,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7009,Chiapas,Arriaga,4,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7010,Chiapas,Bejucal de Ocampo,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7011,Chiapas,Bella Vista,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7012,Chiapas,Berriozabal,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7013,Chiapas,Bochil,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7014,Chiapas,El Bosque,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7015,Chiapas,Cacahoatan,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7016,Chiapas,Catazaja,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7017,Chiapas,Cintalapa,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7018,Chiapas,Coapilla,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7019,Chiapas,Comitan de Dominguez,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7020,Chiapas,La Concordia,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7021,Chiapas,Copainala,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7022,Chiapas,Chalchihuitan,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7023,Chiapas,Chamula,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7024,Chiapas,Chanal,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7025,Chiapas,Chapultenango,4,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7026,Chiapas,Chenalho,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7027,Chiapas,Chiapa de Corzo,4,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7028,Chiapas,Chiapilla,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7029,Chiapas,Chicoasen,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7030,Chiapas,Chicomuselo,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7031,Chiapas,Chilon,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7032,Chiapas,Escuintla,5,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7033,Chiapas,Francisco Leon,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7034,Chiapas,Frontera Comalapa,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7035,Chiapas,Frontera Hidalgo,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7036,Chiapas,La Grandeza,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7037,Chiapas,Huehuetan,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7038,Chiapas,Huixtan,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7039,Chiapas,Huitiupan,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7040,Chiapas,Huixtla,4,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7041,Chiapas,La Independencia,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7042,Chiapas,Ixhuatan,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7043,Chiapas,Ixtacomitan,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7044,Chiapas,Ixtapa,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7045,Chiapas,Ixtapangajoya,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7046,Chiapas,Jiquipilas,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7047,Chiapas,Jitotol,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7048,Chiapas,Juarez,2,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7049,Chiapas,Larrainzar,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7050,Chiapas,La Libertad,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7051,Chiapas,Mapastepec,4,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7052,Chiapas,Las Margaritas,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7053,Chiapas,Mazapa de Madero,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7054,Chiapas,Mazatan,4,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7055,Chiapas,Metapa,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7056,Chiapas,Mitontic,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7057,Chiapas,Motozintla,1,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
7058,Chiapas,Nicolas Ruiz,3,Sureste,Sur,72.38,2.368,2.506,2.654,2.796,2.969,3.143,3.411,3.716,4.052,4.046,3.983,3.419
